AttractionId,City,Country,AttractionType,Attraction,AttractionAddress
33,New York,USA,Historical Site,New York Historical Site 33,"Main Road, New York"
34,Mombasa,Kenya,Temple,Mombasa Temple 34,"Main Road, Mombasa"
35,Paris,France,Beach,Paris Beach 35,"Main Road, Paris"
36,Singapore,Singapore,Beach,Singapore Beach 36,"Main Road, Singapore"
37,Mumbai,India,Historical Site,Mumbai Historical Site 37,"Main Road, Mumbai"
38,Luxor,Egypt,Museum,Luxor Museum 38,"Main Road, Luxor"
39,Munich,Germany,Shopping,Munich Shopping 39,"Main Road, Munich"
40,Cape Town,South Africa,Museum,Cape Town Museum 40,"Main Road, Cape Town"
41,Vancouver,Canada,Beach,Vancouver Beach 41,"Main Road, Vancouver"
42,Singapore,Singapore,Wildlife,Singapore Wildlife 42,"Main Road, Singapore"
43,Cape Town,South Africa,Shopping,Cape Town Shopping 43,"Main Road, Cape Town"
44,Rio de Janeiro,Brazil,Temple,Rio de Janeiro Temple 44,"Main Road, Rio de Janeiro"
45,Cairo,Egypt,Park,Cairo Park 45,"Main Road, Cairo"
46,Jaipur,India,Shopping,Jaipur Shopping 46,"Main Road, Jaipur"
47,New York,USA,Historical Site,New York Historical Site 47,"Main Road, New York"
48,Nairobi,Kenya,Adventure,Nairobi Adventure 48,"Main Road, Nairobi"
49,Santiago,Chile,Historical Site,Santiago Historical Site 49,"Main Road, Santiago"
50,Cancun,Mexico,Historical Site,Cancun Historical Site 50,"Main Road, Cancun"
51,Mexico City,Mexico,Temple,Mexico City Temple 51,"Main Road, Mexico City"
52,Mombasa,Kenya,Shopping,Mombasa Shopping 52,"Main Road, Mombasa"
53,Milan,Italy,Shopping,Milan Shopping 53,"Main Road, Milan"
54,Rio de Janeiro,Brazil,Shopping,Rio de Janeiro Shopping 54,"Main Road, Rio de Janeiro"
55,Mumbai,India,Wildlife,Mumbai Wildlife 55,"Main Road, Mumbai"
56,Madrid,Spain,Historical Site,Madrid Historical Site 56,"Main Road, Madrid"
57,Queenstown,New Zealand,Beach,Queenstown Beach 57,"Main Road, Queenstown"
58,Mumbai,India,Wildlife,Mumbai Wildlife 58,"Main Road, Mumbai"
59,Melbourne,Australia,Museum,Melbourne Museum 59,"Main Road, Melbourne"
60,Johannesburg,South Africa,Museum,Johannesburg Museum 60,"Main Road, Johannesburg"
61,Sydney,Australia,Shopping,Sydney Shopping 61,"Main Road, Sydney"
62,Buenos Aires,Argentina,Park,Buenos Aires Park 62,"Main Road, Buenos Aires"
63,Madrid,Spain,Shopping,Madrid Shopping 63,"Main Road, Madrid"
64,Madrid,Spain,Beach,Madrid Beach 64,"Main Road, Madrid"
65,Vancouver,Canada,Museum,Vancouver Museum 65,"Main Road, Vancouver"
66,Kyoto,Japan,Historical Site,Kyoto Historical Site 66,"Main Road, Kyoto"
67,Auckland,New Zealand,Historical Site,Auckland Historical Site 67,"Main Road, Auckland"
68,Toronto,Canada,Shopping,Toronto Shopping 68,"Main Road, Toronto"
69,Johannesburg,South Africa,Shopping,Johannesburg Shopping 69,"Main Road, Johannesburg"
70,Sydney,Australia,Beach,Sydney Beach 70,"Main Road, Sydney"
71,Rio de Janeiro,Brazil,Museum,Rio de Janeiro Museum 71,"Main Road, Rio de Janeiro"
72,Luxor,Egypt,Temple,Luxor Temple 72,"Main Road, Luxor"
73,Queenstown,New Zealand,Shopping,Queenstown Shopping 73,"Main Road, Queenstown"
74,Sydney,Australia,Historical Site,Sydney Historical Site 74,"Main Road, Sydney"
75,Vancouver,Canada,Park,Vancouver Park 75,"Main Road, Vancouver"
76,Tokyo,Japan,Temple,Tokyo Temple 76,"Main Road, Tokyo"
77,Rome,Italy,Temple,Rome Temple 77,"Main Road, Rome"
78,Santiago,Chile,Museum,Santiago Museum 78,"Main Road, Santiago"
79,Mexico City,Mexico,Historical Site,Mexico City Historical Site 79,"Main Road, Mexico City"
80,Nairobi,Kenya,Temple,Nairobi Temple 80,"Main Road, Nairobi"
81,Luxor,Egypt,Park,Luxor Park 81,"Main Road, Luxor"
82,Sydney,Australia,Temple,Sydney Temple 82,"Main Road, Sydney"
83,Melbourne,Australia,Wildlife,Melbourne Wildlife 83,"Main Road, Melbourne"
84,Singapore,Singapore,Temple,Singapore Temple 84,"Main Road, Singapore"
85,Rome,Italy,Historical Site,Rome Historical Site 85,"Main Road, Rome"
86,Cape Town,South Africa,Historical Site,Cape Town Historical Site 86,"Main Road, Cape Town"
87,Vancouver,Canada,Park,Vancouver Park 87,"Main Road, Vancouver"
88,Tokyo,Japan,Shopping,Tokyo Shopping 88,"Main Road, Tokyo"
89,Sydney,Australia,Park,Sydney Park 89,"Main Road, Sydney"
90,Nice,France,Temple,Nice Temple 90,"Main Road, Nice"
91,Singapore,Singapore,Historical Site,Singapore Historical Site 91,"Main Road, Singapore"
92,Queenstown,New Zealand,Museum,Queenstown Museum 92,"Main Road, Queenstown"
93,Auckland,New Zealand,Adventure,Auckland Adventure 93,"Main Road, Auckland"
94,Melbourne,Australia,Temple,Melbourne Temple 94,"Main Road, Melbourne"
95,Singapore,Singapore,Park,Singapore Park 95,"Main Road, Singapore"
96,Cancun,Mexico,Adventure,Cancun Adventure 96,"Main Road, Cancun"
97,Los Angeles,USA,Historical Site,Los Angeles Historical Site 97,"Main Road, Los Angeles"
98,Mombasa,Kenya,Adventure,Mombasa Adventure 98,"Main Road, Mombasa"
99,Toronto,Canada,Adventure,Toronto Adventure 99,"Main Road, Toronto"
100,Mombasa,Kenya,Wildlife,Mombasa Wildlife 100,"Main Road, Mombasa"
